Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
29,Cedric Tillman*,Tennessee,SEC,13,64,1081,16.9,12,0,0,,0,64,1081,16.9,12,cedric-tillman-1
30,Jaquarii Roberson*,Wake Forest,ACC,13,71,1078,15.2,8,2,8,4.0,0,73,1086,14.9,8,jaquarii-roberson-1
31,Tyrese Chambers,Florida International,CUSA,12,45,1074,23.9,9,0,0,,0,45,1074,23.9,9,tyrese-chambers-1
32,Ali Jennings*,Old Dominion,CUSA,13,62,1066,17.2,5,0,3,,0,62,1069,17.2,5,ali-jennings-1
33,Garrett Wilson*,Ohio State,Big Ten,11,70,1058,15.1,12,4,76,19.0,1,74,1134,15.3,13,garrett-wilson-2
34,Tay Martin*,Oklahoma State,Big 12,13,80,1046,13.1,10,2,13,6.5,1,82,1059,12.9,11,tay-martin-1
35,Makai Polk*,Mississippi State,SEC,13,105,1046,10.0,9,0,0,,0,105,1046,10.0,9,makai-polk-1
36,Dontario Drummond*,Ole Miss,SEC,12,76,1028,13.5,8,6,40,6.7,1,82,1068,13.0,9,dontario-drummond-1
37,Zakhari Franklin*,UTSA,CUSA,13,81,1027,12.7,12,0,0,,0,81,1027,12.7,12,zakhari-franklin-1
38,Jayden Reed*,Michigan State,Big Ten,13,59,1026,17.4,10,7,34,4.9,1,66,1060,16.1,11,jayden-reed-1
39,Hassan Beydoun*,Eastern Michigan,MAC,13,97,1015,10.5,4,2,2,1.0,0,99,1017,10.3,4,hassan-beydoun-1
40,Keytaon Thompson,Virginia,ACC,12,78,990,12.7,1,39,247,6.3,4,117,1237,10.6,5,keytaon-thompson-1
41,Calvin Jackson Jr.*,Washington State,Pac-12,13,66,987,15.0,7,1,3,3.0,0,67,990,14.8,7,calvin-jackson-jr-1
42,Xavier Hutchinson*,Iowa State,Big 12,13,83,987,11.9,5,2,18,9.0,0,85,1005,11.8,5,xavier-hutchinson-1
43,Xavier Worthy,Texas,Big 12,12,62,981,15.8,12,1,7,7.0,0,63,988,15.7,12,xavier-worthy-1
44,Kalil Pimpleton*,Central Michigan,MAC,13,62,960,15.5,4,16,84,5.3,2,78,1044,13.4,6,kalil-pimpleton-1
45,Tyquan Thornton*,Baylor,Big 12,14,62,948,15.3,10,1,-11,-11.0,0,63,937,14.9,10,tyquan-thornton-1
46,Chris Olave*,Ohio State,Big Ten,12,65,936,14.4,13,0,0,,0,65,936,14.4,13,chris-olave-1
47,Nick Mardner,Hawaii,MWC,13,46,913,19.8,5,0,0,,0,46,913,19.8,5,nick-mardner-1
48,Isaiah Likely*,Coastal Carolina,Sun Belt,13,59,912,15.5,12,3,10,3.3,0,62,922,14.9,12,isaiah-likely-1
49,Corey Sutton*,Appalachian State,Sun Belt,13,61,904,14.8,7,0,0,,0,61,904,14.8,7,corey-sutton-2
50,Jalen Cropper*,Fresno State,MWC,13,85,899,10.6,11,19,76,4.0,2,104,975,9.4,13,jalen-cropper-1
51,Samori Toure,Nebraska,Big Ten,12,46,898,19.5,5,8,63,7.9,1,54,961,17.8,6,samori-toure-1
52,Trayvon Rudolph*,Northern Illinois,MAC,14,51,892,17.5,7,8,113,14.1,1,59,1005,17.0,8,trayvon-rudolph-1
53,Grant Dubose,Charlotte,CUSA,12,62,892,14.4,6,3,18,6.0,0,65,910,14.0,6,grant-dubose-1
54,Kevin Austin*,Notre Dame,Ind,13,48,888,18.5,7,1,8,8.0,0,49,896,18.3,7,kevin-austin-2
55,Alec Pierce*,Cincinnati,American,14,52,884,17.0,7,0,0,,0,52,884,17.0,7,alec-pierce-2
56,Brock Bowers*,Georgia,SEC,15,56,882,15.8,13,4,56,14.0,1,60,938,15.6,14,brock-bowers-1
57,Isaiah Neyor*,Wyoming,MWC,13,44,878,20.0,12,12,23,1.9,1,56,901,16.1,13,isaiah-neyor-1
58,Corey Gammage*,Marshall,CUSA,13,78,878,11.3,2,0,0,,0,78,878,11.3,2,corey-gammage-1
59,Calvin Turner,Hawaii,MWC,13,73,876,12.0,4,73,316,4.3,8,146,1192,8.2,12,calvin-turner-2
60,Tyler Snead,East Carolina,American,12,67,855,12.8,4,5,-1,-0.2,0,72,854,11.9,4,tyler-snead-1
61,Bryce Singleton,Florida International,CUSA,11,46,840,18.3,3,0,0,,0,46,840,18.3,3,bryce-singleton-1
62,Michael Mayer*,Notre Dame,Ind,12,71,840,11.8,7,0,0,,0,71,840,11.8,7,michael-mayer-1
63,Brandon Bowling*,Utah State,MWC,14,56,835,14.9,10,0,0,,0,56,835,14.9,10,brandon-bowling-1
64,Rakim Jarrett*,Maryland,Big Ten,13,62,829,13.4,5,4,2,0.5,0,66,831,12.6,5,rakim-jarrett-1
65,Jayson Jackson*,Ball State,MAC,13,69,829,12.0,5,10,33,3.3,0,79,862,10.9,5,jayson-jackson-1
66,Corey Rucker,Arkansas State,Sun Belt,12,59,826,14.0,9,2,20,10.0,1,61,846,13.9,10,corey-rucker-1
67,Thomas Hennigan*,Appalachian State,Sun Belt,14,60,823,13.7,6,0,0,,0,60,823,13.7,6,thomas-hennigan-1
68,Quian Williams,Buffalo,MAC,12,63,820,13.0,2,0,0,,0,63,820,13.0,2,quian-williams-1
69,Parker Washington*,Penn State,Big Ten,13,64,820,12.8,4,2,12,6.0,0,66,832,12.6,4,parker-washington-1
70,Malik Williams*,Appalachian State,Sun Belt,14,52,819,15.8,7,2,13,6.5,0,54,832,15.4,7,malik-williams-2
71,Travell Harris*,Washington State,Pac-12,13,76,814,10.7,9,2,2,1.0,1,78,816,10.5,10,travell-harris-1
72,Ryan O'Keefe*,UCF,American,13,84,812,9.7,7,16,274,17.1,1,100,1086,10.9,8,ryan-okeefe-1
73,Velus Jones Jr.*,Tennessee,SEC,13,62,807,13.0,7,1,15,15.0,0,63,822,13.0,7,velus-jones-jr-1
74,Puka Nacua*,Brigham Young,Ind,12,43,805,18.7,6,14,148,10.6,0,57,953,16.7,6,puka-nacua-1
75,Danny Gray,SMU,American,10,49,803,16.4,9,3,40,13.3,0,52,843,16.2,9,danny-gray-1
76,Joshua Cephus*,UTSA,CUSA,14,71,803,11.3,6,2,11,5.5,0,73,814,11.2,6,joshua-cephus-1
77,Roderic Burns*,North Texas,CUSA,13,58,802,13.8,4,2,18,9.0,0,60,820,13.7,4,roderic-burns-1
78,Emeka Emezie,North Carolina State,ACC,12,60,802,13.4,6,0,0,,0,60,802,13.4,6,emeka-emezie-1
79,Jake Bobo,Duke,ACC,12,74,794,10.7,1,0,0,,0,74,794,10.7,1,jake-bobo-1
80,Derek Wright*,Utah State,MWC,14,48,789,16.4,11,0,0,,0,48,789,16.4,11,derek-wright-2
81,Mac Hippenhammer*,Miami (OH),MAC,12,48,786,16.4,5,0,0,,0,48,786,16.4,5,mac-hippenhammer-1
82,Josh Kelly*,Fresno State,MWC,13,52,778,15.0,3,3,20,6.7,0,55,798,14.5,3,josh-kelly-2
83,Corey Crooms*,Western Michigan,MAC,13,44,768,17.5,6,1,6,6.0,0,45,774,17.2,6,corey-crooms-1
84,Daewood Davis*,Western Kentucky,CUSA,14,43,763,17.7,8,1,-8,-8.0,0,44,755,17.2,8,daewood-davis-1
85,Charlie Kolar*,Iowa State,Big 12,12,62,756,12.2,6,0,0,,0,62,756,12.2,6,charlie-kolar-1
86,Smoke Harris,Louisiana Tech,CUSA,12,71,756,10.6,6,2,4,2.0,0,73,760,10.4,6,smoke-harris-1
87,De'Corian Clark*,UTSA,CUSA,14,52,755,14.5,7,2,9,4.5,0,54,764,14.1,7,decorian-clark-1
