#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,STD_DEV
48,Brandin Cooks,WR,DAL,8.2,5.4,2.2,11.7,2,0,4.6,7.3,BYE,4.2,7,6.1,0,0,0,9.4,3.9,16.6,6.8,88.6,4.457628274
49,DeAndre Hopkins,WR,TEN,0,0,0,0,0,BYE,10.3,21.9,9.6,9.8,9.1,14.7,0,5.9,6,0.4,0,0,9.7,87.7,6.37707833
50,Parris Campbell,WR,PHI,3.7,0,1,4.3,2.2,11.7,13,7.1,1.6,13.6,6.7,1.4,4.5,0,1.3,1.9,5.3,6.8,5.1,86.1,4.194738768
51,Darius Slayton,WR,NYG,0,0,0,1.1,7.9,1.8,11.8,6.6,BYE,15.5,8.6,6.3,9,4.2,2.3,7.9,0.6,0,6.3,82.4,4.596320177
52,Marquez Valdes-Scantling,WR,BUF,4.1,1.3,4.8,6.3,9,0,11.1,0,1.2,12,1.8,5.6,7.1,2,8.6,0,2.8,2.7,4.7,80.4,3.725736318
53,Devin Duvernay,WR,JAC,17.4,10.2,8.3,5.1,7.8,1.4,4.2,12.4,0.5,0,0.7,3.9,4.3,0,2.9,0,0,0,5.7,79.1,4.894154361
54,Isaiah McKenzie,WR,NYG,7.9,3.7,14.2,8.1,0,0.9,0,7,2.1,5.5,0,16.3,4.4,2.8,2.4,0.6,0,1.9,4.9,77.8,4.679572102
55,Richie James Jr.,WR,FA,6.1,5.1,4,1.1,1.6,1.8,0.2,4,0,0,10.8,10.1,2,12.1,4.2,9,13.6,0,4.7,75.5,4.390031497
56,Russell Gage,WR,BAL,1.3,2.8,12.7,2.4,4,2,3.9,0,0,BYE,0,0,1.1,7.2,17.9,6.5,3.3,7.5,5.6,72.6,4.756390711
57,Rashid Shaheed,WR,NO,0,0,0,0,0,10.4,11.3,3.8,0,1.2,0.8,5.9,7.5,BYE,15.5,4.1,7.9,4.1,6,72.5,4.668535628
58,DeVante Parker,WR,FA,0.9,0,15.6,8.4,0,6.4,6.8,0,0,0,1.9,8,1.6,2.4,0,0,0,19.9,5.5,71.9,5.709005773
59,Noah Brown,WR,HOU,6.8,15.1,5.4,6.1,0.5,1,3,0,0,0.3,4.2,0,1.5,8.5,16.9,0.5,0.7,1,4.5,71.5,4.98016126
60,Alec Pierce,WR,IND,0,0,6.1,8,8.1,10.9,3.7,6.5,2.3,0,2.8,0,14.6,BYE,0,2.6,1.5,4.2,4.5,71.3,4.168999116
61,Marvin Jones Jr.,WR,FA,3.8,3.3,9.3,0,10.4,0,5.7,0,4.8,3.3,0,8.2,1.7,2.2,7.7,1.5,6.1,2.9,4.4,70.9,3.242622205
62,Olamide Zaccheaus,WR,WAS,2.9,8.1,4.9,5.5,9.9,5.8,3.1,0.4,1.9,3.4,2.2,9.1,1.3,BYE,0,1.8,0,9.7,4.1,70,3.283691483
63,Kalif Raymond,WR,DET,0,0,0.4,2.1,4.5,BYE,9.5,7.6,1.7,4.7,4,3.5,0.6,1.9,11.3,6.4,4.4,6.6,4.1,69.2,3.25319114
64,Mecole Hardman Jr.,WR,KC,7.6,4.5,0.2,0.4,8,10.2,24,BYE,13.9,0,0,0,0,0,0,0,0,0,8.6,68.8,6.584394889
65,DJ Chark Jr.,WR,LAC,11.2,0,4.6,0,0,0,0,BYE,0,0,0,7.6,9.8,15.4,1.8,10.8,5.6,1.4,6.2,68.2,4.953653714
66,Chris Moore,WR,ARI,3.1,1.4,6.3,0,0,0,8,0,10.5,7,2.3,0.7,4.6,12.4,4.2,2.5,2.1,2,4.5,67.1,3.631468261
67,Michael Gallup,WR,FA,0,0,0,8.4,4.4,1.8,0,4.9,0,3.5,4.1,6.3,14.3,4,0.2,9.6,3.9,1,4.7,66.4,3.872106646
68,DeAndre Carter,WR,CHI,12.4,5.5,2.6,0.4,0.9,1.7,3.7,0,5.3,12.4,3.3,13.3,1.4,0,0.5,0,1.4,2.3,3.9,66.3,4.328690533
69,Josh Reynolds,WR,DEN,2.8,9.8,9.6,14.1,9.2,0,0.8,1.4,BYE,0,0,0,1.9,11.1,0,3.1,0.5,1.6,5.5,65.9,4.639159332
70,Corey Davis,WR,FA,7.7,14.3,2.7,13.4,3.8,5.2,0,0,0,0,0,0.9,8.5,1.5,0,1.4,4.5,1.7,5,65.6,4.431230356
71,Marquise Goodwin,WR,FA,2.2,0,3.1,0,0,2.6,18.7,3.3,0,9.8,0,5.5,1.7,15.3,1,0,0,0,4.9,63.2,5.396283586
71,Isaiah Hodgins,WR,NYG,0,0,0,0,4.1,0,0,0,BYE,4.1,0.9,3.1,10.4,11.8,3.7,14.9,10.2,0,7,63.2,4.827767149
73,Robert Woods,WR,HOU,1.3,3.9,8.5,9,3.7,BYE,2.6,0.6,0,1,6.9,1.6,0.6,4.9,1.2,3,9.9,4,3.7,62.7,3.064959908
74,Darnell Mooney,WR,ATL,0.8,0.4,2.3,9.4,5.2,6.8,5.3,7,10.5,5.7,8.9,0,0,BYE,0,0,0,0,5.6,61.5,3.74526229
75,Greg Dortch,WR,ARI,6.3,11.5,8,0.6,0,0,6.6,0.8,0.3,0,10.3,0,BYE,0,0,12.3,1.5,4.5,3.8,61.1,4.400652673
76,Nico Collins,WR,HOU,2.6,5.8,4.1,8.2,6.5,BYE,3.3,0,0,10.9,4.8,4.4,9.5,0,0,0,0,0,6,60.1,3.569303965
77,Romeo Doubs,WR,GB,4.8,2.7,13.3,8.7,2.9,2.1,0,12.2,1.8,0,0,0,0,BYE,5.5,3.6,2,0,4.6,59.6,4.102147298
78,Chase Claypool,WR,FA,5.4,2.6,4.6,0,5,16.4,4.1,8.5,1.7,0.8,1.1,5.1,0.8,0,0,0,0,2.9,3.9,59,3.989647096
79,Nick Westbrook-Ikhine,WR,TEN,1.3,1.3,4,0,7.2,BYE,0,0,0,23.9,2.8,5.8,0.4,8.3,0,2.3,0.4,0,3.6,57.7,5.752592315
80,Demarcus Robinson,WR,LAR,1.9,7.2,0,1,0.8,2.7,BYE,6.4,1.2,0,12.8,1.7,4.1,5.2,0.9,6.6,0.9,2.4,3.5,55.8,3.300131066
81,Treylon Burks,WR,TEN,5.5,4.7,2.1,1.8,0,BYE,0,0,0,2.4,11.1,7,8.5,0,0,1.5,8.6,1.9,5,55.1,3.526714656
82,Terrace Marshall Jr.,WR,CAR,0,0,0,0,3,0,3.1,8.7,11.3,4.3,7.6,0.8,BYE,1.8,5.1,5.5,1.5,2.3,4.2,55,3.325293649
83,Van Jefferson,WR,PIT,0,0,0,0,0,0,0,0,0,8.7,4.1,8.9,3.9,10.4,3.2,1.9,7.7,6.1,5.5,54.9,3.636122782
84,Trent Sherfield Sr.,WR,MIN,0.8,0.9,0.5,5.5,0.5,0.6,4.4,2.5,2.7,12.3,0,3.3,13.5,0.7,0,2.5,3,0,3.4,53.7,3.840030382
85,Kendrick Bourne,WR,NE,4.1,1.6,5.8,3.8,0,1.7,0,0,1.2,BYE,0.8,2.9,1.5,4.7,0,18.9,1.8,4.5,3.3,53.3,4.330186951
86,Allen Robinson II,WR,NYG,1.2,11.3,2.3,0.7,1.2,12.3,0,5.4,2.4,4.4,10.7,0,0,0,0,0,0,0,5.2,51.9,4.12825629
87,Quez Watkins,WR,PIT,0,12.9,0,0,1.9,0.3,0,0,2.5,6,9.1,9.5,3.7,1.9,1,1.9,0,1.4,3,51.5,3.789528294
88,Elijah Moore,WR,CLE,4.9,3.5,4.9,5.5,1.1,0,0,0,BYE,0,1.7,12,1.7,6,5.4,1.5,1.8,1.1,3.2,51.1,3.065648495
89,Jamal Agnew,WR,FA,1.2,0.1,1.7,17,0.3,2.4,0,0,0,0.4,0,9.7,4.3,4.4,6.4,0.8,0.2,0.8,3.3,49.3,4.32269706
90,Trenton Irwin,WR,CIN,0,0,0,0,0,0,0,2.7,2.5,BYE,10.2,1.6,1.2,11.8,0.5,16.5,0,1.2,5.4,48.2,4.839171195
91,Randall Cobb,WR,FA,1.4,3.7,5.7,4.2,9.9,0.8,0,0,0,0,7.3,7.9,0,0,3.2,0.5,2,1.1,3.7,47.7,3.067979791
92,Jauan Jennings,WR,SF,6.2,0.4,0.5,2.2,4.5,1.8,2.4,0,BYE,4,0,10.9,3.4,0.5,3.1,2.1,4.6,1,3,47.6,2.683939159
93,Rondale Moore,WR,ATL,0,0,0,0.7,6.1,4.9,3.1,16.4,6.9,9.4,0.6,0,0,BYE,0,0,0,0,5.9,46.9,4.475523592
94,Julio Jones,WR,FA,8.6,0,0,0.7,0,0,0,8.1,2.8,11.3,0,5.5,2.8,3.8,0,0.5,2.3,0,4.6,46.4,3.448438544
95,Dante Pettis,WR,CHI,11.1,0,0,0,0,14.4,3.1,1.8,1.2,1.7,0,1.2,1.4,BYE,1.3,7.1,0,1.9,2.7,46.2,4.067841644
96,Laviska Shenault Jr.,WR,SEA,0,0,15,0,0,0,0.8,2.6,0.6,11.9,0.7,2.1,0,3.8,0,5.3,2,0.9,3.5,45.7,4.153865521
97,Ben Skowronek,WR,HOU,2.5,1.6,6.6,3.3,4.1,11.7,0,1,0,1.4,0.4,0.5,3,8.9,0.3,0,0,0,3.2,45.3,3.288236609
98,Tutu Atwell,WR,LAR,0,0,0,0,5.4,0.9,BYE,0,0,0,12.2,2.3,7.1,4.5,0.6,1.4,1,9.8,3.8,45.2,3.7096153
99,Tyquan Thornton,WR,NE,0,0,0,0,0.7,17.3,1.9,1.3,0.5,BYE,0.5,0,3.1,2.8,2.1,0.8,12,1.3,3.7,44.3,4.591100161
100,Nelson Agholor,WR,BAL,0.8,17,2.1,4.6,0,0,0,0.2,0,BYE,1.8,12.5,1.7,3.2,0.3,0,0,0,2.9,44.2,4.684392107
101,Ray-Ray McCloud III,WR,ATL,2,1.6,1.1,0.6,0,0,12.5,1.1,0,3.3,0,1.2,0,1.8,1.6,13.1,4.2,0,2.6,44.1,3.836411807
102,Equanimeous St. Brown,WR,NO,7.8,3.9,6.3,0.9,2.4,0.1,4.8,0.6,0,0.9,2.4,0.7,8.6,BYE,2,0,2,0.3,2.7,43.7,2.6843259
103,Justin Watson,WR,KC,0,11,0,0,1,0,6.4,BYE,3.7,1.2,6.7,2.6,1.5,0,0,0,2.7,6.7,2.6,43.5,3.1887779
104,Hunter Renfrow,WR,FA,2.1,3.9,0,0,2.5,0,5.5,0.6,2.6,0,0,0,0,0,1.4,10.2,1.9,12.3,4.3,43,3.507276387
105,Kadarius Toney,WR,KC,2.3,0,0,0,0,0,0,BYE,1.2,15,0,0,0,0,0.5,6.8,5.1,10.4,4.6,41.3,4.284412885
106,Braxton Berrios,WR,MIA,3.7,2.2,0.2,4.7,7.4,8.6,4.2,0,0.6,0,0,1.3,0.9,2.5,1.4,0,2.4,0,2.3,39.7,2.522301761
107,Shi Smith,WR,FA,1.2,0.2,2.2,0,6.9,0,0,0,2,1.7,0.6,0,0,7.7,2.4,1.7,13,0,2.3,39.6,3.423773097
108,Damiere Byrd,WR,BUF,0,0,0,0,0,0,13.5,12.7,0,5.8,2.9,0,1.2,0,0,1.5,1.2,0,3.2,38.8,4.130405175
109,Rashod Bateman,WR,BAL,11.9,16.8,3.9,1.7,0,0,4.2,0,0,BYE,0,0,0,0,0,0,0,0,6.4,38.5,4.680364638
110,A.J. Green,WR,FA,1.3,3.6,0,0,2,0.7,0,0,0,7,5,0.5,0,0.7,0,0,1.7,15.1,2.9,37.6,3.698631712
111,Jarvis Landry,WR,FA,11.4,2.5,2.2,2.7,0,0,0,0,0,3.7,9.3,2,1.4,0,0,0,0,0,3.9,35.2,3.211476334
112,Michael Thomas,WR,FA,17.7,12.5,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,35.1,4.859726787
113,Tre'Quan Smith,WR,DET,0,0,10.5,1.8,1,10.3,5.9,0,2.9,0,0,0.8,0,0,0,0,0,0.6,3.4,33.8,3.34440753
114,Kendall Hinton,WR,FA,0,2,2.7,3.9,0,0.8,1.4,0,0,6.2,5.7,4.8,1.1,3.8,0,0,0,0,2.9,32.4,2.113448998
115,Robbie Chosen,WR,SF,16.2,1.2,1.4,2.6,3.2,0,0,0,0.4,0,0,1.7,0,5,0,0,1.3,0,2.7,32.2,3.742251254
116,Phillip Dorsett II,WR,DEN,0,0,1.5,0,0,0,10.5,0.6,6.9,2.2,0,0.5,1.8,1.8,0,4.5,1.4,0,2.1,31.7,2.773112749
117,Sammy Watkins,WR,FA,1.8,9.3,0,0,0,0,3.6,0.3,0.9,4.7,0,0,0,0,0,4,0,5.9,3.4,30.5,2.633221985
118,Wan'Dale Robinson,WR,NYG,0.5,0,0,0,0,9.7,5,1.5,BYE,1.5,10.4,0,0,0,0,0,0,0,4.8,28.6,3.288882394
119,KhaDarel Hodge,WR,ATL,3.8,5.7,0,0,5.3,0,0,0,1.9,9.7,1.3,0,0,BYE,0,0,0.5,0,2.2,28.2,2.742703437
120,Dyami Brown,WR,WAS,0,0,0,0.6,22.5,0,0,0,0,1.5,0,1.7,0,BYE,1.5,0,0,0,3.1,27.8,5.249867357
121,Ashton Dulin,WR,IND,4.6,8.2,0.7,1.8,1.8,0,0,0,0,0,0,0,7.4,BYE,3,0,0,0,2.8,27.5,2.596883946
122,Velus Jones Jr.,WR,CHI,0,0,0,2,6.9,0.2,0,3.8,0,0,0,0.6,0.1,BYE,1.7,5.2,1.3,13,2.5,27,3.394132939
123,Byron Pringle,WR,WAS,2.2,0,1.1,0,0,0,0,0,0,1.2,0,7.2,0,BYE,9.9,3.4,0,0.5,2.6,25.5,2.774887385
124,Khalil Shakir,WR,BUF,0,0,0,2.3,13.5,1.4,BYE,0,0,0.6,0,0,1,0,0,2.5,0,2.8,2.4,24.1,3.169567663
125,Jalen Nailor,WR,MIN,0,0,0,1.3,0,0,BYE,0,0,0,1.5,0,0,0,0,0,14.9,6.2,3,23.9,3.684541729
126,Brandon Powell,WR,MIN,1.3,2,2.7,1.1,0.1,4,BYE,0,0.4,0.7,1.5,0.6,8.4,0,0.7,1.5,0.9,1.7,1.4,23.6,1.965146129
127,Amari Rodgers,WR,FA,0,0,0,0,0,1.4,0.6,2.2,0,2,0,0,0,12,2.6,3.7,1.6,2.2,1.5,23.1,2.774047495
128,River Cracraft,WR,MIA,0,6.2,7.1,0,0,0,0,0,0,0,BYE,5.5,2.9,0,0,0,0,0.5,2.8,22.2,2.410386981
129,Marquez Callaway,WR,FA,0,0,6.4,5.3,0.5,3.6,2,1,2.4,0,0.6,0,0,0,0,0,0,0,2.2,21.8,1.928986173
130,David Bell,WR,CLE,0,0.6,0.6,3.5,0.6,1.3,0.7,2.7,BYE,2.4,2.2,2.3,0,2.7,0,1.8,0,0,1.4,21.4,1.144839482
130,Skyy Moore,WR,KC,3,0,2,3.1,1.5,2.4,2,BYE,0,0.6,6.3,1.6,1.2,0.7,1.2,0.5,3.3,0,1.3,21.4,1.551001462
130,Sterling Shepard,WR,TB,13.1,3.4,4.9,0,0,0,0,0,0,0,BYE,0,0,0,0,0,0,0,7.1,21.4,3.256136076
133,Zach Pascal,WR,ARI,0.7,1.4,1.8,0,0,0,0,11.7,0.8,1,0.9,0,1.6,0.5,0,0.6,0,0,1.4,21,2.621492365
134,Keelan Cole Sr.,WR,FA,0,0,1.2,0,0,0,0,3,0,0,2.1,1.2,0,1.1,11,0,0,0.5,1.7,20.1,2.541926216
135,Scotty Miller,WR,PIT,0,4.2,0.4,0,3.5,0,0.6,1.3,5.3,2.5,0,0,0.7,0,0,0,0,0.8,1.6,19.3,1.613762187
136,Jalen Reagor,WR,NE,0,2.4,0.2,0,6.1,0,0,0,0,0,1.4,2.5,4.6,0,0.5,0,0,2.2,1.1,18.9,1.755458858
137,KJ Hamler,WR,BUF,0,0,0,5.5,1,4.4,1.8,6.1,0,0,0,0,0,0,0,0,0,0,2.7,18.8,1.991990133
138,Denzel Mims,WR,JAC,0,0,0,0,0,0,0.4,7.6,1.2,0,3.5,1.1,0,3.5,1.3,0,0,0,2.1,18.6,1.937065363
139,Lawrence Cager,WR,NYG,0,0,0,0,0,0,0,0,BYE,6.9,2,2,0,0,0,0,0,6.9,3,17.8,2.230567759
140,N'Keal Harry,WR,MIN,0,0,0,0,0,0,1.4,8.4,0.6,0,0,0,4.9,0,0,0,1.6,0.7,2.9,17.6,2.143868662
141,Steven Sims Jr.,WR,HOU,0,0,0,0,0,0.5,0,2,0,1.7,0.3,0.9,1.9,3.1,2.9,0.7,3.4,1.6,1.5,17.4,1.160087268
142,DeSean Jackson,WR,FA,0,0,0,0,0,0,0,0,1.6,0,0,7.4,1,3.4,0,1,0.9,0,2.2,15.3,1.80562393
143,Anthony Schwartz,WR,MIA,3.9,0,0,0,0,0,0,0,0,0.3,0,10.8,0.2,0,0,0,0,0,2.1,14.8,2.572768121
144,Cedrick Wilson Jr.,WR,NO,2.8,0,0,0,2,0,0,0,2.3,0.7,0,2.6,0,1.9,2.1,0,0,0,1.1,14.4,1.077032961
145,Breshad Perriman,WR,FA,0.7,10.5,2.4,0,0,0,0,1.1,0.1,0,0,0,0,0,0,0,0,0.9,1.8,14.3,2.41334382
146,Samori Toure,WR,GB,0,0,0,0,0,0,0.4,9.7,3.4,0,0,0,0.7,BYE,0,0,0,0,3.6,14.2,2.356952463
147,Tom Kennedy,WR,DET,0,0,0,5.4,0,BYE,1.4,0,1.6,4.4,1.3,0,0,0,0,0,0,0,2,14.1,1.591065017
147,Jameson Williams,WR,DET,0,0,0,0,0,BYE,0,0,0,0,0,0,0,10.1,0,0,4,0,2.4,14.1,2.500768048
147,Kenny Golladay,WR,FA,2.2,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,9,2.4,14.1,2.15
150,Jeff Smith,WR,FA,0,1.7,0,0,1.1,0,0,2.3,0.6,0,0,0,0,0,7.7,0,0,0,1.9,13.4,1.811451911
151,T.Y. Hilton,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,5,1.9,4,12.1,1.624741195
152,Jalen Virgil,WR,DEN,0,0,0,0,0,0,0,0,BYE,12.6,0,2,0,0.9,0,0,0,0,1.6,11.5,2.964869277
153,David Sills,WR,DEN,0,3.7,2,0.5,1.2,0.8,1.9,0.5,BYE,0,0,0,0,0,0,0,0,0,1.5,10.6,1.007927058
154,John Brown,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,5.1,10.2,2.336426521
155,Marcus Johnson,WR,FA,0,0,0,0,3.5,2.5,0,0.3,0,0,0,0,0,0,0,0,0,3.6,1.2,9.9,1.204274793
