#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL,STD_DEV
57,Mecole Hardman Jr.,WR,KC,0.6,5.3,14.1,8.7,5,0,7,15.6,4.8,BYE,1.6,2.3,1.5,8,7.7,4.4,0.5,5.4,87.1,4.487478238
58,Rashard Higgins,WR,FA,0.9,0,0,0,9.1,7.3,11,1.4,0,4.8,6.5,1.5,15.5,12.8,7.6,0,5.5,6.5,83.9,4.883578868
59,David Moore,WR,CAR,4,10.8,0.2,15.5,0,0,5.8,10.6,13.1,1.8,0.5,5.5,0.6,8.9,1.5,4.5,0.5,5.2,83.8,4.931980238
60,Jakobi Meyers,WR,LV,0,0.7,0,0,0,BYE,6.2,7.8,16.9,10.9,3.8,5.2,1.5,4.7,9.1,4.5,12.3,6,83.5,4.921572411
61,Kendrick Bourne,WR,NE,3.4,6.7,6.3,3.3,9,4.4,0,8.1,0,2.6,0,3.4,3.5,6.2,14.6,1.6,7.6,5.4,80.7,3.697394575
62,Greg Ward,WR,IND,3.1,0.5,12.6,3.8,8.6,3.9,10.2,1.2,0,3.9,0.9,0.3,11.7,2,13.5,2.7,1.2,5,80.1,4.52624794
63,Travis Fulgham,WR,FA,0,0,0,11.7,21.2,13.5,7.3,13.8,0,0.8,0.8,1.6,0,0,3,2.7,1.5,6,77.9,6.313965408
64,Hunter Renfrow,WR,FA,2.1,3.7,14.4,5.7,4.2,0,4.2,8.6,6,3,3.7,7.3,4.7,1.8,0.4,3.4,2.4,4.7,75.6,3.305809084
65,Josh Reynolds,WR,DEN,1.7,3.3,4,2.5,4.6,10.5,11.2,4.4,0,9.4,3.2,4,2.1,0.6,0.9,7,2.9,4.5,72.3,3.275060421
66,Antonio Brown,WR,FA,0,0,0,0,0,0,0,0,3.1,6.6,5.8,1.1,0,4.9,15.3,9.5,25.8,9,72.1,6.843722656
67,Isaiah McKenzie,WR,NYG,1.7,4.7,1,2.9,6.7,0.4,0.3,0,8.6,4.7,BYE,0.1,9.1,1.2,0.8,3.1,24.5,4.3,69.6,5.946834767
68,Scotty Miller,WR,PIT,7.9,1.2,8.3,14.3,0,0.6,16.9,4.2,1,0.4,0,0,0,10.8,2,0.7,1.2,4.3,69.5,5.316111179
69,James Washington,WR,FA,9.4,2.2,3.6,0,2.5,12.8,0,0,7.7,3,1.2,1.9,14,8.9,0,2,0,4.3,69.2,4.518688605
70,Breshad Perriman,WR,FA,1.7,1.2,0,0,0,6.2,2.7,0,22.1,0,11.4,7.9,2.2,2.6,2.1,0.6,8.4,5.8,69.1,5.619811717
70,Tre'Quan Smith,WR,DET,0.4,8.6,4.2,17.4,0.8,0,5.4,4.3,7.4,0,0,1.6,10.5,6,2.5,0,0,4.9,69.1,4.676341101
72,Jalen Guyton,WR,LV,1.6,7.4,2.3,13.2,4.5,BYE,14.4,0.3,0.9,2.4,0.4,3.3,3.8,0.8,9.5,4.3,0,4.3,69.1,4.384378341
73,Damiere Byrd,WR,BUF,0,7.2,2.7,8,0,3.8,1.6,3.9,6.5,0,20.3,3.3,1.6,4.8,2.4,0.7,1.1,4.2,67.9,4.742978785
74,Allen Lazard,WR,NYJ,14.2,4.5,20.4,0,0,0,0,0,0,BYE,1.8,8.3,5,1.9,5.6,1.4,1.7,6.5,64.8,5.659946996
75,A.J. Green,WR,FA,5.1,2.9,3.6,0.3,0,9.6,8.2,1.9,0,0,10.1,0,0,12.2,4,6.4,0,4,64.3,4.022617716
76,Odell Beckham Jr.,WR,MIA,2.2,13.4,5.9,33.4,6.4,2.5,0,0,0,0,0,0,0,0,0,0,0,9.1,63.8,8.19807134
76,John Brown,WR,FA,13,14.2,0,4.2,0,0,0,2.1,9.9,7.2,0,0,0,0,0,0,13.2,7.1,63.8,5.298958571
78,Demarcus Robinson,WR,LAR,2,2.8,0,0,0.2,6.9,0.4,12.3,7.4,0,4.4,3.6,3.9,1.3,2.7,8.9,5.8,4.2,62.6,3.468723327
79,Randall Cobb,WR,FA,2.3,5.9,15.5,3.6,4.7,7.7,9.5,0,2.1,4.1,6.7,0,0,0,0,0,0,6.2,62.1,4.230160287
80,Willie Snead IV,WR,MIA,12.4,2.9,0.4,2,0,3.2,BYE,10.6,3.7,18.4,2.3,0,0,2.9,0,2.4,0,4.7,61.2,5.163271734
