#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,STD_DEV
67,Rondale Moore,WR,ATL,4.5,1.4,12.2,0,7.6,2.6,2.6,2.1,0.8,4.3,11.4,3.5,0.6,0,0.8,3.6,3.4,3.6,3.8,65,3.430563428
68,Alec Pierce,WR,IND,0.5,2.8,4.3,3.8,1,2.5,5.3,4.1,0,2.1,BYE,2.7,16,2.2,1.3,3,11.8,0,3.7,63.4,4.052561239
69,Kendrick Bourne,WR,NE,18.4,2.9,4.6,3.6,4.3,9.3,10.3,9.6,0,0,BYE,0,0,0,0,0,0,0,7.9,63,5.149811029
70,Kalif Raymond,WR,DET,2,11.7,5.5,3.8,4.5,2.6,2,2.2,BYE,4.6,0.5,9.6,0.9,1.5,1.2,3.7,1.1,5,3.7,62.4,2.973958484
71,Nelson Agholor,WR,BAL,0,12.3,3.9,0.4,6.4,4,7.2,0,0.2,0,9.7,2.1,BYE,3.2,0,7,1.8,3.9,3.7,62.1,3.636759651
72,Justin Watson,WR,KC,4.5,4.2,5.1,0.5,5.6,0,0,4.2,1.5,BYE,11.3,6.3,0,1.8,3.1,9.8,4.1,0,3.9,62,3.275240027
73,Demarcus Robinson,WR,LAR,0,0,0,0,0,0,0,0,1.5,BYE,2.4,1.3,11.5,10.6,12.7,14.2,7.2,0,6.8,61.4,5.129600644
74,DeMario Douglas,WR,NE,4,0.1,2,4.5,2.4,0,7.4,2.9,5.5,8.4,BYE,4.9,0,0,3.3,7.4,4.3,1.3,4.2,58.2,2.648182768
75,Nick Westbrook-Ikhine,WR,TEN,5.8,8.5,0,11.1,0.9,2.5,BYE,9.3,2.3,0.9,0.7,4.1,2.8,4.8,3.3,0,0,0,4.4,57,3.401577082
76,Trey Palmer,WR,TB,6.8,2,0.8,6.6,BYE,4.7,0.5,2.2,5.1,2.1,2.8,1.7,2.5,0.8,0.5,4.2,12.4,1,3.3,56.7,3.001948617
77,Jameson Williams,WR,DET,0,0,0,0,0.2,11.3,0,1.6,BYE,1.8,10.4,5.1,9,0.4,4.7,4.3,7.5,0,4.7,56.3,3.9050318
78,Quentin Johnston,WR,LAC,0.9,0.7,1,1.8,BYE,0,2,5,1.6,9.4,2.1,0.7,5.2,9.1,8.3,3,2.9,2.3,3.3,56,2.943881109
79,Brandon Johnson,WR,DEN,3.1,18.6,1.2,6.4,0.9,0,0,0,BYE,0,0,0,0,0,0,12.7,2.7,8.8,4.2,54.4,5.262072953
80,Michael Gallup,WR,FA,1,0.3,9.2,6,1.5,2.4,0,2,1.9,13,3.1,1.3,0,10.8,0.9,0.4,0,0,3.2,53.8,3.904824493
81,Tre Tucker,WR,LV,0,3.4,0,0,1.6,6.1,1.8,0,5.6,0.9,3,0,BYE,0,17.7,0.1,3.6,9,3.8,52.8,4.46561643
82,Michael Thomas,WR,FA,6.1,5.5,5,5.3,6.5,4.5,10.2,6.8,0,0.9,0,0,0,0,0,0,0,0,5.1,50.8,3.255517633
83,Robert Woods,WR,HOU,5.7,7.4,3.4,2.6,3,6.6,BYE,0,0,1.5,4.4,4,0,0.2,3,2.1,5.8,0,3.5,49.3,2.395223043
84,Marvin Mims Jr.,WR,DEN,0.9,18.3,13.6,4.7,1.6,0,1.1,0,BYE,0.3,1.2,3.5,1.3,1.1,1.1,4.3,0,1.7,3,48.7,4.909682546
85,A.T. Perry,WR,NO,0,0,0,0,0,0,0,0,0,9.8,BYE,0.7,3,4.4,3.4,9.5,0.5,17.3,4.9,48.6,4.773093561
86,Darnell Mooney,WR,ATL,11.3,0,0,5.1,0,4.8,3.4,4.4,8.2,1.4,2.4,0.6,0,4.4,1.4,0.5,0,0,3.4,47.9,3.1365478
87,KaVontae Turpin,WR,DAL,8.5,1.5,0,5.1,8.6,0,BYE,1.3,6.5,0,2.3,9.4,1,2.2,0,0.8,0,0.5,3,47.7,3.298390086
88,Cedrick Wilson Jr.,WR,NO,0,0,0,1.6,5.2,0,4.8,6.1,9.1,0,2.3,0,0,3,0.2,4.2,8.7,2.4,3.4,47.6,2.983328161
89,Chris Moore,WR,ARI,0,4.9,4.1,4.4,0,0.6,0,0,2.9,2.1,8.7,4.2,1.2,2.2,3.9,0.9,3.2,3,2.7,46.3,2.225310354
90,Rashod Bateman,WR,BAL,3.5,1.8,0.6,0,0.8,1.5,3.6,5.2,2.8,2.5,7,2.1,BYE,2.4,3.9,1.4,5.4,0,2.8,44.5,1.907334233
91,Zay Jones,WR,ARI,11.5,0,0,0,8.3,0,0,0,0,0,2,1,7.8,2.9,5.9,0,0,4.7,4.9,44.1,3.529597081
92,Jonathan Mingo,WR,CAR,1.7,2.6,2.1,0,4.8,2.1,BYE,6.2,0.5,2,0.6,6,6.9,2.2,3.2,0.9,0,0,2.8,41.8,2.186605972
