Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
276,Marcus Childers*,Northern Illinois,MAC,14,194,531,2.7,6,1,5,5.0,0,195,536,2.7,6,marcus-childers-1
277,Cole McDonald*,Hawaii,MWC,13,134,359,2.7,4,0,0,,0,134,359,2.7,4,cole-mcdonald-1
278,Sam Hartman*,Wake Forest,ACC,9,107,275,2.6,2,0,0,,0,107,275,2.6,2,sam-hartman-1
279,Steven Montez,Colorado,Pac-12,12,94,238,2.5,4,0,0,,0,94,238,2.5,4,steven-montez-1
280,Zach Abey,Navy,American,12,125,306,2.4,14,1,37,37.0,1,126,343,2.7,15,zach-abey-1
281,Kato Nelson,Akron,MAC,11,131,303,2.3,1,0,0,,0,131,303,2.3,1,kato-nelson-1
282,Gus Ragland,Miami (OH),MAC,12,92,214,2.3,7,0,0,,0,92,214,2.3,7,gus-ragland-1
283,Brian Lewerke*,Michigan State,Big Ten,11,90,184,2.0,2,2,10,5.0,1,92,194,2.1,3,brian-lewerke-1
284,Kenny Pickett*,Pitt,ACC,14,117,220,1.9,3,1,-12,-12.0,0,118,208,1.8,3,kenny-pickett-1
285,J'mar Smith*,Louisiana Tech,CUSA,13,90,173,1.9,3,0,0,,0,90,173,1.9,3,jmar-smith-1
286,Josh Adkins,New Mexico State,Ind,10,86,117,1.4,0,0,0,,0,86,117,1.4,0,josh-adkins-1
287,Jawon Pass,Louisville,ACC,11,76,93,1.2,2,0,0,,0,76,93,1.2,2,jawon-pass-1
288,Brent Stockstill*,Middle Tennessee State,CUSA,14,128,145,1.1,2,1,-8,-8.0,0,129,137,1.1,2,brent-stockstill-1
289,Deondre Francois,Florida State,ACC,11,78,16,0.2,3,0,0,,0,78,16,0.2,3,deondre-francois-1
290,Brett Rypien,Boise State,MWC,13,85,12,0.1,0,0,0,,0,85,12,0.1,0,brett-rypien-1
